         2810209 function calls (2803916 primitive calls) in 158.976 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:29(deprecated)
        4    0.000    0.000    0.034    0.008 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:314(CDLL)
       10    0.000    0.000    0.000    0.000 __init__.py:321(getMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
        1    0.000    0.000    0.106    0.106 __init__.py:335(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:34(DummyProcess)
       75    0.001    0.000    0.027    0.000 __init__.py:340(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:341(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:348(<listcomp>)
    11776    0.118    0.000    0.977    0.000 __init__.py:36(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:370(PyDLL)
        2    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:379(usesTime)
       10    0.000    0.000    0.000    0.000 __init__.py:382(format)
        1    0.000    0.000    0.000    0.000 __init__.py:385(StrFormatStyle)
    13248    0.054    0.000    0.054    0.000 __init__.py:392(gen_even_slices)
        1    0.000    0.000    0.000    0.000 __init__.py:394(StringTemplateStyle)
        3    0.000    0.000    0.238    0.079 __init__.py:4(<module>)
      301    0.000    0.000    0.000    0.000 __init__.py:403(<genexpr>)
      301    0.000    0.000    0.000    0.000 __init__.py:405(<genexpr>)
        2    0.000    0.000    0.054    0.027 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:410(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:411(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:418(Formatter)
        2    0.000    0.000    0.000    0.000 __init__.py:42(normalize_encoding)
     1472    0.007    0.000    0.029    0.000 __init__.py:425(_get_n_jobs)
    11776    0.125    0.000    3.236    0.000 __init__.py:43(start)
        2    0.000    0.000    0.013    0.006 __init__.py:45(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:462(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:474(ConvergenceWarning)
        3    0.000    0.000    0.000    0.000 __init__.py:475(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:476(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:478(DataDimensionalityWarning)
        5    0.000    0.000    0.000    0.000 __init__.py:483(cast)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:50(__init__)
        2    0.000    0.000    0.004    0.002 __init__.py:52(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:532(usesTime)
       10    0.000    0.000    0.000    0.000 __init__.py:538(formatMessage)
       10    0.000    0.000    0.000    0.000 __init__.py:554(format)
        1    0.000    0.000    0.002    0.002 __init__.py:56(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:591(BufferingFormatter)
       10    0.121    0.012  158.651   15.865 __init__.py:6(SFS)
        1    0.000    0.000    0.000    0.000 __init__.py:60(<listcomp>)
        3    0.000    0.000    0.000    0.000 __init__.py:60(__call__)
        1    0.000    0.000    0.045    0.045 __init__.py:623(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:633(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:638(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:64(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:670(Filterer)
        5    0.000    0.000    0.000    0.000 __init__.py:675(__init__)
        2    0.000    0.000    0.001    0.000 __init__.py:69(search_function)
       20    0.000    0.000    0.000    0.000 __init__.py:695(filter)
        2    0.000    0.000    0.023    0.012 __init__.py:7(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        2    0.000    0.000    0.000    0.000 __init__.py:742(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:752(Handler)
        2    0.000    0.000    0.000    0.000 __init__.py:761(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:79(Namespace)
        2    0.000    0.000    0.000    0.000 __init__.py:790(createLock)
       20    0.000    0.000    0.000    0.000 __init__.py:799(acquire)
        1    0.000    0.000    0.002    0.002 __init__.py:8(<module>)
       20    0.000    0.000    0.000    0.000 __init__.py:806(release)
       10    0.000    0.000    0.000    0.000 __init__.py:819(format)
       10    0.000    0.000    0.001    0.000 __init__.py:842(handle)
        3    0.000    0.000    0.000    0.000 __init__.py:85(_decorate_fun)
        1    0.000    0.000    0.000    0.000 __init__.py:860(setFormatter)
        1    0.000    0.000    0.003    0.003 __init__.py:87(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        2    0.000    0.000    0.068    0.034 __init__.py:9(<module>)
        1    0.000    0.000    0.071    0.071 __init__.py:93(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:937(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:946(__init__)
       10    0.000    0.000    0.000    0.000 __init__.py:957(flush)
       10    0.000    0.000    0.001    0.000 __init__.py:968(emit)
        1    0.000    0.000    0.000    0.000 __init__.py:97(<listcomp>)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:97(Value)
        1    0.000    0.000    0.000    0.000 __init__.py:988(FileHandler)
        4    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:14(Storage)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:186(AdaptiveStepsize)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:253(RandomDisplacement)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:267(MinimizerWrapper)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:283(Metropolis)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:36(BasinHoppingRunner)
        1    0.000    0.000    0.000    0.000 _binary.py:14(<module>)
        1    0.000    0.000    0.001    0.001 _binned_statistic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:23(getpreferredencoding)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:308(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:592(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:599(__contains__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:607(keys)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:631(__init__)
       59    0.000    0.000    0.000    0.000 _collections_abc.py:652(__iter__)
       61    0.000    0.000    0.000    0.000 _collections_abc.py:736(popitem)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:748(clear)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:756(update)
        1    0.000    0.000    0.000    0.000 _compat.py:3(<module>)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _components.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
